,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,Action
image_groups,create
image_groups,destroy
image_groups,edit
image_groups,index
image_groups,new
image_groups,show
image_groups,update
myaccount::addresses,create
myaccount::addresses,destroy
myaccount::addresses,edit
myaccount::addresses,index
myaccount::addresses,new
myaccount::addresses,show
myaccount::addresses,update
myaccount::credit_cards,create
myaccount::credit_cards,destroy
myaccount::credit_cards,edit
myaccount::credit_cards,index
myaccount::credit_cards,new
myaccount::credit_cards,show
myaccount::credit_cards,update
myaccount::orders,index
myaccount::orders,show
myaccount::overviews,edit
myaccount::overviews,show
myaccount::overviews,update
myaccount::referrals,create
myaccount::referrals,index
myaccount::referrals,update
myaccount::store_credits,show
notifications,update
products,create
products,index
products,show
shopping::addresses,create
shopping::addresses,destroy
shopping::addresses,edit
shopping::addresses,index
shopping::addresses,new
shopping::addresses,select_address
shopping::addresses,show
shopping::addresses,update
shopping::billing_addresses,create
shopping::billing_addresses,destroy
shopping::billing_addresses,edit
shopping::billing_addresses,index
shopping::billing_addresses,new
shopping::billing_addresses,select_address
shopping::billing_addresses,show
shopping::billing_addresses,update
shopping::cart_items,create
shopping::cart_items,destroy
shopping::cart_items,edit
shopping::cart_items,index
shopping::cart_items,move_to
shopping::cart_items,new
shopping::cart_items,show
shopping::cart_items,update
shopping::coupons,create
shopping::coupons,show
shopping::orders,checkout
shopping::orders,confirmation
shopping::orders,create
shopping::orders,destroy
shopping::orders,edit
shopping::orders,index
shopping::orders,new
shopping::orders,show
shopping::orders,update
shopping::shipping_methods,create
shopping::shipping_methods,destroy
shopping::shipping_methods,edit
shopping::shipping_methods,index
shopping::shipping_methods,new
shopping::shipping_methods,show
shopping::shipping_methods,update
states,index
terms,index
unsubscribes,show
user_sessions,create
user_sessions,destroy
user_sessions,new
welcome,index
wish_items,destroy
wish_items,index
